File Name,Date,Time,Current AQI,Past 24h AQI,Current Main Pollutant,Past 24h Main Pollutant,CO,O3,SO2,NO2,PM2.5,PM10,Current Temperature,Weather Status,Wind Speed,Relative Humidity,Horizontal Visibility,Rainfall Amount Past 24h
1,2022-02-05,22:57,53,127,PM2.5,PM2.5,16,10,10,46,53,29,5,Partly Cloudy,4,% 52,More than 10 km,0.01 mm
2,2022-02-05,23:27,55,127,PM2.5,PM2.5,17,9,10,46,55,28,5,Partly Cloudy,3,% 48,More than 10 km,0.01 mm
3,2022-02-05,23:57,55,127,PM2.5,PM2.5,17,9,10,46,55,28,6,Partly Cloudy,6,% 45,More than 10 km,0.01 mm
4,2022-02-06,00:27,55,127,PM2.5,PM2.5,17,10,10,45,55,27,6,Partly Cloudy,6,% 43,More than 10 km,0.01 mm
5,2022-02-06,00:57,55,127,PM2.5,PM2.5,17,11,10,45,55,27,4,Partly Cloudy,4,% 52,More than 10 km,0.01 mm
6,2022-02-06,01:27,58,127,PM2.5,PM2.5,17,14,11,42,58,26,5,Partly Cloudy,5,% 48,More than 10 km,0.01 mm
7,2022-02-06,01:57,58,127,PM2.5,PM2.5,17,14,11,42,58,26,5,Partly Cloudy,4,% 48,More than 10 km,0.01 mm
8,2022-02-06,02:27,57,127,PM2.5,PM2.5,17,16,11,39,57,26,5,Partly Cloudy,5,% 48,More than 10 km,0.01 mm
9,2022-02-06,02:57,56,127,PM2.5,PM2.5,17,16,11,39,56,26,5,Partly Cloudy,4,% 45,More than 10 km,0.01 mm
10,2022-02-06,03:27,55,127,PM2.5,PM2.5,16,21,10,34,55,24,3,Partly Cloudy,6,% 56,More than 10 km,0.01 mm
11,2022-02-06,03:57,55,127,PM2.5,PM2.5,16,20,10,34,55,24,4,Partly Cloudy,4,% 52,More than 10 km,0.01 mm
12,2022-02-06,04:27,53,127,PM2.5,PM2.5,15,21,9,31,53,21,4,Partly Cloudy,5,% 52,More than 10 km,0.01 mm
13,2022-02-06,04:57,53,127,PM2.5,PM2.5,15,21,9,31,53,21,3,Partly Cloudy,5,% 56,More than 10 km,0.01 mm
14,2022-02-06,05:27,52,127,PM2.5,PM2.5,15,23,9,27,52,22,2,Partly Cloudy,4,% 60,More than 10 km,0.01 mm
15,2022-02-06,05:57,52,127,PM2.5,PM2.5,15,23,9,27,52,22,2,Partly Cloudy,3,% 60,More than 10 km,0.01 mm
16,2022-02-06,06:27,50,127,PM2.5,PM2.5,14,21,9,27,50,20,4,Semi Cloudy,6,% 51,More than 10 km,0.01 mm
